review,stars,app,review_clean,sentiment
Рауme иловаси буйича мани шахсий Фикрим: Мен (оплатить позже) деган булинмасидан фойдаланган едим лекин фоизлари жуда котта булиб кетди ва мени уз вактида хабардор килишмади!!! факат смс юборишди Енди еса оператор телефон килиб % лар купайиб кетганлиги туфайли тулов килишимни суради. НЕГА? кунгирок килиб ФОИЗЛАР купайотганини хабардор килишмади?. Хуллас огох булилар бу Рауme иловасидан фойдаланилмаган макул !!!,1,payme,рауme иловаси буйича мани шахсий фикрим мен оплатить позже деган булинмасидан фойдаланган едим лекин фоизлари жуда котта булиб кетди ва мени уз вактида хабардор килишмади факат смс юборишди енди еса оператор телефон килиб лар купайиб кетганлиги туфайли тулов килишимни суради нега кунгирок килиб фоизлар купайотганини хабардор килишмади хуллас огох булилар бу рауme иловасидан фойдаланилмаган макул,-1
да,5,payme,да,1
очень хорошее приложение,5,payme,очень хорошее приложение,1
"Последная обновление, сделал приложение не понятным и тяжолым для слабых телефонов",1,payme,последная обновление сделал приложение не понятным и тяжолым для слабых телефонов,-1
zo'r,5,payme,zor,1
классно работает. Спасибо.,5,payme,классно работает спасибо,1
Zoʻr,3,payme,zor,1
ok,5,payme,ok,1
"Как давний пользователь Payme и человек, связанный с мобильной разработкой, хочу отметить, что после последнего обновления интерфейс стал значительно менее удобным и интуитивно понятным. Визуально приложение, возможно, пытались сделать более современным, однако с точки зрения пользовательского опыта результат получился спорным. Многие привычные элементы стали менее очевидными, навигация усложнилась, а общее восприятие интерфейса стало менее понятным. Важно учитывать, что Payme пользуются люди ра",5,payme,как давний пользователь payme и человек связанный с мобильной разработкой хочу отметить что после последнего обновления интерфейс стал значительно менее удобным и интуитивно понятным визуально приложение возможно пытались сделать более современным однако с точки зрения пользовательского опыта результат получился спорным многие привычные элементы стали менее очевидными навигация усложнилась а общее восприятие интерфейса стало менее понятным важно учитывать что payme пользуются люди ра,-1
"Кўп хизматларга хатто оддий мобил оператор хизматларига ҳам 1,5 % комиссия қўшиб қўйилган. 1.5 % кешбек деб реклама қилиб қўйилган, бу кешбекдан фойдаланиш учун ойига 39 минг тўлов қилиш керак. Бу маркетинг хийласими",1,payme,кп хизматларга хатто оддий мобил оператор хизматларига ам комиссия шиб йилган кешбек деб реклама илиб йилган бу кешбекдан фойдаланиш учун ойига минг тлов илиш керак бу маркетинг хийласими,-1
yangi intefase juda noqulay ekan,5,payme,yangi intefase juda noqulay ekan,1
maslahat bermayman!!!,1,payme,maslahat bermayman,1
Мне нравится.,5,payme,мне нравится,1
сканер работает очень плохо по 2 минуты надо искать положение чтоб оплатить через qr код,1,payme,сканер работает очень плохо по минуты надо искать положение чтоб оплатить через qr код,-1
"ужасно, не могу найти предыдущую оплату, верните обратно прежний интерфейс",1,payme,ужасно не могу найти предыдущую оплату верните обратно прежний интерфейс,-1
верните старую версию новая не устраивает не хватает информаци обнавлёном приложение,1,payme,верните старую версию новая не устраивает не хватает информаци обнавлёном приложение,-1
супер,5,payme,супер,1
"после последнего обновления, невозможно зайти в приложение!!!постоянно выскакивает--приложение не отвечает!!!",5,payme,после последнего обновления невозможно зайти в приложениепостоянно выскакиваетприложение не отвечает,-1
ok,5,payme,ok,1
"после этого обновления , где вообще тяжело сориентироваться , приложение просто вылетает.начинаешь операцию , перевод или оплату и все . приложение закрывается. есть некое ощущение, что туда слишком много всего запихнули . ну вот прям для платёжного приложения , это много различной информации.",2,payme,после этого обновления где вообще тяжело сориентироваться приложение просто вылетаетначинаешь операцию перевод или оплату и все приложение закрывается есть некое ощущение что туда слишком много всего запихнули ну вот прям для платёжного приложения это много различной информации,-1
почему изменили дизайн приложения. вашшэ неудобно,1,payme,почему изменили дизайн приложения вашшэ неудобно,-1
oldingi dizayn yaxshidi,1,payme,oldingi dizayn yaxshidi,1
приложения отличное особенно Шак шак выполнение задания выдают бонусы и красивые подарки,5,payme,приложения отличное особенно шак шак выполнение задания выдают бонусы и красивые подарки,1
ВСЕ ЧЕТКО,5,payme,все четко,1
здравствуйте а почему у меня сейчас с карты сняли 100000 с какой стати у меня сейчас я захожу пойми у меня 100000 снимают как это понять,5,payme,здравствуйте а почему у меня сейчас с карты сняли с какой стати у меня сейчас я захожу пойми у меня снимают как это понять,-1
Не работает qr оплата,1,payme,не работает qr оплата,-1
Visa card dan 25% kamidiya yechib oldi insof kere,2,payme,visa card dan kamidiya yechib oldi insof kere,-1
отлично,4,payme,отлично,1
"после обновления стало прогонять ваше приложение, вводишь пинкод и начитается : то выкидывает, то ошибка, то якобы ченсор гонит и изаэтого нк заходит, тот только мосент такой ято в дрцгие приложение заходит без проблем",2,payme,после обновления стало прогонять ваше приложение вводишь пинкод и начитается то выкидывает то ошибка то якобы ченсор гонит и изаэтого нк заходит тот только мосент такой ято в дрцгие приложение заходит без проблем,-1
обновление қилиб расвосини чиқарибсизлар приложениени,1,payme,обновление илиб расвосини чиарибсизлар приложениени,-1
здравствуйте Можно создать виртуальный карту?,2,payme,здравствуйте можно создать виртуальный карту,-1
Payme plus xizmatiga ulanmagan bòlsam ham pul yechib olishdi 39.990 ming.,1,payme,payme plus xizmatiga ulanmagan blsam ham pul yechib olishdi ming,-1
Oxirgi paytlar payme juda sekin ishlayabdi.,5,payme,oxirgi paytlar payme juda sekin ishlayabdi,-1
zor,5,payme,zor,1
в последнее время очень много сбоев в приложение...,2,payme,в последнее время очень много сбоев в приложение,-1
O'zbekistonda (peeymaa*) chalik tupoy programma bo'lmasa kerak. bir kun ishlaydi 40 kun ishlamaydi buni yozgan odamni yana 45 yil o'qitib 40 yil praktikada yurishi kerak shundan keyin ham yarimi tuzaladi,1,payme,ozbekistonda peeymaa chalik tupoy programma bolmasa kerak bir kun ishlaydi kun ishlamaydi buni yozgan odamni yana yil oqitib yil praktikada yurishi kerak shundan keyin ham yarimi tuzaladi,-1
"после последней обновы ужасно долго прогружает всё, невозможно пользоваться. а так нравилось пользоваться пэйми",5,payme,после последней обновы ужасно долго прогружает всё невозможно пользоваться а так нравилось пользоваться пэйми,-1
"ужасно, сегодня 20 минут не смог сделать п2п перевод и не работал Пайми го пейми катится только на дно жаль...",1,payme,ужасно сегодня минут не смог сделать пп перевод и не работал пайми го пейми катится только на дно жаль,-1
"я изза этого приложения очень мнрго раз опаздывал, думаю лучше перейти на другое приложение",1,payme,я изза этого приложения очень мнрго раз опаздывал думаю лучше перейти на другое приложение,-1
ужас просто не работает пазооооор,1,payme,ужас просто не работает пазооооор,-1
zo'r,5,payme,zor,1
само по себе включает не нужны услуги украдет денег от карты не верте машеники,1,payme,само по себе включает не нужны услуги украдет денег от карты не верте машеники,-1
оплата в бюджет не работаеть. операторы говорять надо обновить всеравно не работаеть,1,payme,оплата в бюджет не работаеть операторы говорять надо обновить всеравно не работаеть,-1
обновление очень ужасно... Верните пожалуйста старую версию,1,payme,обновление очень ужасно верните пожалуйста старую версию,-1
не советую,1,payme,не советую,1
"Легко , быстро , отчётливо",5,payme,легко быстро отчётливо,1
😎,5,payme,,1
очень не удобно верните старую версия.,1,payme,очень не удобно верните старую версия,1
ok,5,payme,ok,1
опят я не магу скриншотит payme что опять изменили скрин скриншотит,2,payme,опят я не магу скриншотит payme что опять изменили скрин скриншотит,-1
"неудобное приложение , не надо было обновлять , ужас просто",1,payme,неудобное приложение не надо было обновлять ужас просто,-1
"Здравствуйте. Хорошее предложение. Но почему при переводе денег, с меня взяли 1,1%? В Хамкорбанке при переводе за месяц до 5'000'000сум бесплатно. Приложение от Хамкорбанка не работал, пришлось воспользоваться Пайми.",1,payme,здравствуйте хорошее предложение но почему при переводе денег с меня взяли в хамкорбанке при переводе за месяц до сум бесплатно приложение от хамкорбанка не работал пришлось воспользоваться пайми,-1
"очередной уродский редизайн интерфейса, теперь часами сидеть пытаться разобраться что и где находится",1,payme,очередной уродский редизайн интерфейса теперь часами сидеть пытаться разобраться что и где находится,-1
"Здравствуйте. Приложение отличное. Но возник вопрос, сняли с карты 39.990 сум за услугу. Но раньше снимали только 2000 сум. В прошлом месяце взяли отсрочку. И конечно же в течение месяца закрыла отсрочку. А вообщем мне очень нравится это приложение. удачи и процветания Вам.",5,payme,здравствуйте приложение отличное но возник вопрос сняли с карты сум за услугу но раньше снимали только сум в прошлом месяце взяли отсрочку и конечно же в течение месяца закрыла отсрочку а вообщем мне очень нравится это приложение удачи и процветания вам,1
"Обновление ужасное, интерфейс невнятный: везде большие пустые шарики. Всё, что вы создали, это регресс? Прошу вернуть старую версию. Она была намного удобнее, даже по сравнению со сторонними приложениями.",1,payme,обновление ужасное интерфейс невнятный везде большие пустые шарики всё что вы создали это регресс прошу вернуть старую версию она была намного удобнее даже по сравнению со сторонними приложениями,-1
вернули старое обновление 👍,5,payme,вернули старое обновление,-1
обновлено очень плохо старый лучше был,1,payme,обновлено очень плохо старый лучше был,-1
"Иногда не входит вообще , Дизайн зачем изменили? спасибо пора удалять приложение!",1,payme,иногда не входит вообще дизайн зачем изменили спасибо пора удалять приложение,-1
"после обновления не понимаю как пользоваться, раньше было легче",3,payme,после обновления не понимаю как пользоваться раньше было легче,-1
"Верните старый интерфейс, вы че, не заставляйте меня, удалить приложение.",1,payme,верните старый интерфейс вы че не заставляйте меня удалить приложение,-1
очередной рекламный баннер... очередную приложению испортили... очередное приложение в черный список...,1,payme,очередной рекламный баннер очередную приложению испортили очередное приложение в черный список,-1
"Здравствуйте! Мне очень жаль за то что пишу такую отзыв, после обновления приложения стало очень не понятно! Что, где? Куда войти, не понятно, я немого найти мониторинг, и мой дом каждый видно в главном экране по отдельно, три квартира три кнопки, раньше заходил по кнопке мой дом, а сейчас извлечено, много рекламные листи, как будто открыл приложение магазин🤔",1,payme,здравствуйте мне очень жаль за то что пишу такую отзыв после обновления приложения стало очень не понятно что где куда войти не понятно я немого найти мониторинг и мой дом каждый видно в главном экране по отдельно три квартира три кнопки раньше заходил по кнопке мой дом а сейчас извлечено много рекламные листи как будто открыл приложение магазин,-1
Payme plusni o‘chirudim kirdi chiqdini tarixni ko‘rsatmay qo‘ydi,3,payme,payme plusni ochirudim kirdi chiqdini tarixni korsatmay qoydi,-1
зор,5,payme,зор,1
Зачем опять заблокировали возможность делать скриншот? Я и так обновился до последней версии теперь снова скриншот заблокирован вы специально обманываете людей чтобы они обновились и лишились возможности делать скриншот? 🤣,5,payme,зачем опять заблокировали возможность делать скриншот я и так обновился до последней версии теперь снова скриншот заблокирован вы специально обманываете людей чтобы они обновились и лишились возможности делать скриншот,-1
хороший приложение мне понравился,5,payme,хороший приложение мне понравился,1
Спасибо.,5,payme,спасибо,1
"Хочу отдельно поблагодарить девушку по имени Одина если я не ошибаюсь/имя точно не помню/ за её участие! У меня были проблемы с оплатой отсрочки, сегодня утром я наконец то оплатила! Дай бог ей здоровья! Также хочу поблагодарить тех.отдел за помощь в восстановлении скидочной оплаты за функцию ""всё включено""!",5,payme,хочу отдельно поблагодарить девушку по имени одина если я не ошибаюсьимя точно не помню за её участие у меня были проблемы с оплатой отсрочки сегодня утром я наконец то оплатила дай бог ей здоровья также хочу поблагодарить техотдел за помощь в восстановлении скидочной оплаты за функцию всё включено,-1
очень хороший приложение супер 👍👍👍👍,5,payme,очень хороший приложение супер,1
что за новый дизайн??? разобраться трудно и неудобно,1,payme,что за новый дизайн разобраться трудно и неудобно,-1
так себе,3,payme,так себе,1
"payme, что за ужасное обновление? ничего не понятно, зачем-то в общем балансе выходит ваш ""оплатить позже"", вы сбивает людей",1,payme,payme что за ужасное обновление ничего не понятно зачемто в общем балансе выходит ваш оплатить позже вы сбивает людей,-1
Раҳмат,5,payme,рамат,1
🤢🤢🤢,1,payme,,1
отлично,5,payme,отлично,1
yaxshi,1,payme,yaxshi,1
O .,5,payme,o,1
удобно быстро,5,payme,удобно быстро,1
ok,5,payme,ok,1
"машкала, списывают в тихую ваши деньги",1,payme,машкала списывают в тихую ваши деньги,-1
Otlichno,5,payme,otlichno,1
"Ассалому алайкум, бугун Paymeни ишлатмоқчи бўлиб очсам, янги фонда Добро подаловать в новый Payme деган ёзувдан у ёгига ўтмаяпти, нимага?",4,payme,ассалому алайкум бугун paymeни ишлатмочи блиб очсам янги фонда добро подаловать в новый payme деган ёзувдан у ёгига тмаяпти нимага,-1
варианты обмена баллов очень скудный. нет ни какого интереса пользоваться приложением. Но при этом берут проценты за переводы.,1,payme,варианты обмена баллов очень скудный нет ни какого интереса пользоваться приложением но при этом берут проценты за переводы,-1
Аввалги версияси жуда тушунарлик эди. янги версияда қийинчилик юзага келмоқда,5,payme,аввалги версияси жуда тушунарлик эди янги версияда ийинчилик юзага келмода,-1
"приложение страшно тормозит, что с ним? все еле грузится.",3,payme,приложение страшно тормозит что с ним все еле грузится,-1
"вы что совсем голову потеряли, не возможно войти если не обновит. если у человека времени нет или трафика, или вообще памяти не хватает на телефоне. как можно сделать принудительным обновлению!!!???",1,payme,вы что совсем голову потеряли не возможно войти если не обновит если у человека времени нет или трафика или вообще памяти не хватает на телефоне как можно сделать принудительным обновлению,-1
хорошо работает приложение,5,payme,хорошо работает приложение,1
Абсолютно нихрена не грузит,1,payme,абсолютно нихрена не грузит,-1
отлично,5,payme,отлично,1
Очень крутая фишка возьми сейчас оплати позже очень помогло в трудный момент спасибо,5,payme,очень крутая фишка возьми сейчас оплати позже очень помогло в трудный момент спасибо,1
zor ekan,5,payme,zor ekan,1
ro'yxatdan o‘tib bo'lmayapti. kod kelgandan keyin 4 talik pin kod kiritkanimdan keyin ekan oppoq hechqana yozuv ham chiqmayapti.,1,payme,royxatdan otib bolmayapti kod kelgandan keyin talik pin kod kiritkanimdan keyin ekan oppoq hechqana yozuv ham chiqmayapti,-1
klass,5,payme,klass,1
"Juda ham ishonchli ilova! Hammaga tavsiya qilaman, klientlar murojatlariga hech qachon be e'tibor emas❤️",5,payme,juda ham ishonchli ilova hammaga tavsiya qilaman klientlar murojatlariga hech qachon be etibor emas,1
"Humans не выходит в ""мобильные операторы"" не смогла оплатить мобильную связь.",5,payme,humans не выходит в мобильные операторы не смогла оплатить мобильную связь,-1
хороши памю,5,payme,хороши памю,1
klass,5,payme,klass,1
",отличное приложение спасибо",5,payme,отличное приложение спасибо,1
zor,5,payme,zor,1
👍,5,payme,,1
"молодцы что доли возможность выбрать старый дизайн. новый дизайн такой отвратительны, аж удалить приложение хочется. мне не понравился дизайн как тбс банк. один в один скопировано.",3,payme,молодцы что доли возможность выбрать старый дизайн новый дизайн такой отвратительны аж удалить приложение хочется мне не понравился дизайн как тбс банк один в один скопировано,-1
👍,5,payme,,1
Удобно быстро качественно добросовестно.,5,payme,удобно быстро качественно добросовестно,1
"при оплате кредита ""-"" невозможно вставить приложение просто тупо не может найти мой кредит из-за одного девиза. Приложение никак не может вставить!",1,payme,при оплате кредита невозможно вставить приложение просто тупо не может найти мой кредит изза одного девиза приложение никак не может вставить,-1
"приложение удобно для пользования, но есть не достатки не показывает в истории сумма зарплаты",3,payme,приложение удобно для пользования но есть не достатки не показывает в истории сумма зарплаты,-1
Всё нормально.,5,payme,всё нормально,1
👍,5,payme,,1
Невозможно пользоваться кэшбеком! Можно тратить кэшбек только за мобильных оплаты,1,payme,невозможно пользоваться кэшбеком можно тратить кэшбек только за мобильных оплаты,-1
супир,5,payme,супир,1
После обновления становится лучше Спасибо вам,5,payme,после обновления становится лучше спасибо вам,1
"Komissiyasi rosa yuqori, kredit olishni tiqishtiradi",1,payme,komissiyasi rosa yuqori kredit olishni tiqishtiradi,1
Judayam yaxshi 👍,5,payme,judayam yaxshi,1
zor,5,payme,zor,1
Плохо что 5 тыс уходять за месяц,5,payme,плохо что тыс уходять за месяц,-1
👍,5,payme,,1
Отличное приложение,5,payme,отличное приложение,1
Приложение СУПЕР !!! 👍👍👍,5,payme,приложение супер,1
отлично 👌,5,payme,отлично,1
Кайфую от этого приложения,5,payme,кайфую от этого приложения,-1
все отлично!!! 👍👍👍,5,payme,все отлично,1
ок,5,payme,ок,1
👍,5,payme,,1
",,,👍👍👍,,,",5,payme,,1
👍👍👍,5,payme,,1
очень хороший,5,payme,очень хороший,1
ок,5,payme,ок,1
"приложение хорошее, еще добавьте оплату квартплаты, и все будет чудесно",5,payme,приложение хорошее еще добавьте оплату квартплаты и все будет чудесно,1
"soat 5:57, 3-may, 4 marta sms jo'natdim, kelmadi, o'chirib tashladim, oradan qanchadir vaqtlardan keyin yuklab olarman",1,payme,soat may marta sms jonatdim kelmadi ochirib tashladim oradan qanchadir vaqtlardan keyin yuklab olarman,-1
отлично,5,payme,отлично,1
"Хотел сегодня установить, не получилось. С восьми часов утра до 3 часов дня снимал и отправлял видео для регистрации, не проходит и всё. Звонил в поддержку, данные правильные, вы через три часа попробуйте отправить видео, не прошло. Что это такое? Мне делать нечего, как целый день вам видео слать,которое не проходит? Если я не могу зарегиться, то зачем мне такое приложение? Снёс и установил другое. Разочарование.",1,payme,хотел сегодня установить не получилось с восьми часов утра до часов дня снимал и отправлял видео для регистрации не проходит и всё звонил в поддержку данные правильные вы через три часа попробуйте отправить видео не прошло что это такое мне делать нечего как целый день вам видео слатькоторое не проходит если я не могу зарегиться то зачем мне такое приложение снёс и установил другое разочарование,-1
zoʻr,5,payme,zor,1
"ввели комиссию при оплате оператора Ucell, конечно же нигде об этом не было упомяныто, ведь это не супер акция правильно? также после последних обновлений на андроиде периодически ошибку выдаёт, видимо процент дополнительный должен решить это проблему со временем.",1,payme,ввели комиссию при оплате оператора ucell конечно же нигде об этом не было упомяныто ведь это не супер акция правильно также после последних обновлений на андроиде периодически ошибку выдаёт видимо процент дополнительный должен решить это проблему со временем,-1
предложение отличное но можно идентификацию убрать,4,payme,предложение отличное но можно идентификацию убрать,1
super,5,payme,super,1
вообще мусор зачем платить каждый месяц по 39.999,1,payme,вообще мусор зачем платить каждый месяц по,-1
почему уменя автоматически списалос подписка пайме + подержка не отвечат и через телеграм бота пробовал уменя была привязана банковская карта некогда не был в подписке автоматически подключилас,3,payme,почему уменя автоматически списалос подписка пайме подержка не отвечат и через телеграм бота пробовал уменя была привязана банковская карта некогда не был в подписке автоматически подключилас,-1
"очень нравится, то, что удобно пользоваться.",5,payme,очень нравится то что удобно пользоваться,1
спасибо большое мне очень понравилось 🤩,5,payme,спасибо большое мне очень понравилось,1
Здравствуйте приложение хорошее удобное. но есть но - служба поддержки максимально плохое. Есть службы недействительные по которым проводил оплату и в итоге деньги просто уходили в никуда. это беспредел. я максимально недоволен Payme и больше не буду пользоватся этой платформой для платежей!,1,payme,здравствуйте приложение хорошее удобное но есть но служба поддержки максимально плохое есть службы недействительные по которым проводил оплату и в итоге деньги просто уходили в никуда это беспредел я максимально недоволен payme и больше не буду пользоватся этой платформой для платежей,-1
монопол бўлиб фоизга ўтиб кетти,1,payme,монопол блиб фоизга тиб кетти,1
"Очень часто тупит, постоянно какие то проблемы с этим приложением.",1,payme,очень часто тупит постоянно какие то проблемы с этим приложением,-1
"Приложения раньше работал лучше, но последнее время тяжело работает после обновления.",3,payme,приложения раньше работал лучше но последнее время тяжело работает после обновления,-1
ок,5,payme,ок,1
Tastiqlash kodi kelmaydi,1,payme,tastiqlash kodi kelmaydi,1
"Приложение стало просто отвратительно работать! Постоянно виснет, долго загружается, бесконечно просит очистить кеш. У меня Android 16, One UI 8.0, 100 Гб свободно, 8 Гб оперативки, которая тоже ничем не забита, и каждый раз, когда я пытаюсь либо сохранить квитанцию, либо поделиться ей хотя бы в тг, чтобы оттуда распечатать - это приложение вылетает! Я должна потратить час времени, чтобы выгрузить эти несчастные квитанции! С каждым обновлением только хуже и хуже!",1,payme,приложение стало просто отвратительно работать постоянно виснет долго загружается бесконечно просит очистить кеш у меня android one ui гб свободно гб оперативки которая тоже ничем не забита и каждый раз когда я пытаюсь либо сохранить квитанцию либо поделиться ей хотя бы в тг чтобы оттуда распечатать это приложение вылетает я должна потратить час времени чтобы выгрузить эти несчастные квитанции с каждым обновлением только хуже и хуже,-1
zor,5,payme,zor,1
неработает,1,payme,неработает,1
"Мое сообщение для создателем Payme ?!?!?! После последний обновление PAYME стал в прямом смысле ТУПИМ !!! очень сильно тупит , выходит запись что Payme не отвечает и ещё другое ... Пожалуйста исправте",5,payme,мое сообщение для создателем payme после последний обновление payme стал в прямом смысле тупим очень сильно тупит выходит запись что payme не отвечает и ещё другое пожалуйста исправте,-1
"ваше не работает и комисия много, и мониторинг не показывает все удалите эту приложение",1,payme,ваше не работает и комисия много и мониторинг не показывает все удалите эту приложение,-1
ассаломалекум охирги пайтда QRcod Билан муаммолар ва котиб колишлар юзага келмокда,2,payme,ассаломалекум охирги пайтда qrcod билан муаммолар ва котиб колишлар юзага келмокда,-1
не работает вапше,1,payme,не работает вапше,-1
я уже давно не пользуюсь пайми но от меня деньги списывают что можна делать,1,payme,я уже давно не пользуюсь пайми но от меня деньги списывают что можна делать,-1
Я уже не первый год пользуюсь этим приложением меня всё устраивало а сейчас в последнее время я сильно разочаровался вообще не возможно пользоваться даже открыть не всегда получается постоянно вылетает в чём проблема прошу пожалуйста разберитесь,1,payme,я уже не первый год пользуюсь этим приложением меня всё устраивало а сейчас в последнее время я сильно разочаровался вообще не возможно пользоваться даже открыть не всегда получается постоянно вылетает в чём проблема прошу пожалуйста разберитесь,-1
