app,review,sentiment
payme,отлично,Positive
payme,yaxshi,Positive
payme,удобно быстро,Positive
payme,"Ассалому алайкум, бугун Paymeни ишлатмоқчи бўлиб очсам, янги фонда Добро подаловать в новый Payme деган ёзувдан у ёгига ўтмаяпти, нимага?",Negative
payme,варианты обмена баллов очень скудный. нет ни какого интереса пользоваться приложением. Но при этом берут проценты за переводы.,Negative
payme,"приложение страшно тормозит, что с ним? все еле грузится.",Negative
payme,"вы что совсем голову потеряли, не возможно войти если не обновит. если у человека времени нет или трафика, или вообще памяти не хватает на телефоне. как можно сделать принудительным обновлению!!!???",Negative
payme,хорошо работает приложение,Positive
payme,отлично,Positive
payme,Очень крутая фишка возьми сейчас оплати позже очень помогло в трудный момент спасибо,Positive
payme,zor ekan,Positive
payme,ro'yxatdan o‘tib bo'lmayapti. kod kelgandan keyin 4 talik pin kod kiritkanimdan keyin ekan oppoq hechqana yozuv ham chiqmayapti.,Negative
payme,"Juda ham ishonchli ilova! Hammaga tavsiya qilaman, klientlar murojatlariga hech qachon be e'tibor emas❤️",Positive
payme,"Humans не выходит в ""мобильные операторы"" не смогла оплатить мобильную связь.",Negative
payme,хороши памю,Positive
payme,",отличное приложение спасибо",Positive
payme,zor,Positive
payme,👍,Positive
payme,"молодцы что доли возможность выбрать старый дизайн. новый дизайн такой отвратительны, аж удалить приложение хочется. мне не понравился дизайн как тбс банк. один в один скопировано.",Negative
payme,👍,Positive
payme,Удобно быстро качественно добросовестно.,Positive
payme,"при оплате кредита ""-"" невозможно вставить приложение просто тупо не может найти мой кредит из-за одного девиза. Приложение никак не может вставить!",Negative
payme,"приложение удобно для пользования, но есть не достатки не показывает в истории сумма зарплаты",Negative
payme,Всё нормально.,Positive
payme,👍,Positive
payme,Невозможно пользоваться кэшбеком! Можно тратить кэшбек только за мобильных оплаты,Negative
payme,супир,Positive
payme,После обновления становится лучше Спасибо вам,Positive
payme,Judayam yaxshi 👍,Positive
payme,zor,Positive
payme,Плохо что 5 тыс уходять за месяц,Negative
payme,👍,Positive
payme,Отличное приложение,Positive
payme,Приложение СУПЕР !!! 👍👍👍,Positive
payme,отлично 👌,Positive
payme,все отлично!!! 👍👍👍,Positive
payme,👍,Positive
payme,",,,👍👍👍,,,",Positive
payme,👍👍👍,Positive
payme,очень хороший,Positive
payme,"приложение хорошее, еще добавьте оплату квартплаты, и все будет чудесно",Positive
payme,"soat 5:57, 3-may, 4 marta sms jo'natdim, kelmadi, o'chirib tashladim, oradan qanchadir vaqtlardan keyin yuklab olarman",Negative
payme,отлично,Positive
payme,"Хотел сегодня установить, не получилось. С восьми часов утра до 3 часов дня снимал и отправлял видео для регистрации, не проходит и всё. Звонил в поддержку, данные правильные, вы через три часа попробуйте отправить видео, не прошло. Что это такое? Мне делать нечего, как целый день вам видео слать,которое не проходит? Если я не могу зарегиться, то зачем мне такое приложение? Снёс и установил другое. Разочарование.",Negative
payme,zoʻr,Positive
payme,"ввели комиссию при оплате оператора Ucell, конечно же нигде об этом не было упомяныто, ведь это не супер акция правильно? также после последних обновлений на андроиде периодически ошибку выдаёт, видимо процент дополнительный должен решить это проблему со временем.",Positive
payme,предложение отличное но можно идентификацию убрать,Positive
payme,super,Positive
payme,вообще мусор зачем платить каждый месяц по 39.999,Negative
payme,почему уменя автоматически списалос подписка пайме + подержка не отвечат и через телеграм бота пробовал уменя была привязана банковская карта некогда не был в подписке автоматически подключилас,Negative
payme,"очень нравится, то, что удобно пользоваться.",Positive
payme,спасибо большое мне очень понравилось 🤩,Positive
payme,Здравствуйте приложение хорошее удобное. но есть но - служба поддержки максимально плохое. Есть службы недействительные по которым проводил оплату и в итоге деньги просто уходили в никуда. это беспредел. я максимально недоволен Payme и больше не буду пользоватся этой платформой для платежей!,Positive
payme,"Очень часто тупит, постоянно какие то проблемы с этим приложением.",Negative
payme,"Приложения раньше работал лучше, но последнее время тяжело работает после обновления.",Negative
payme,"Приложение стало просто отвратительно работать! Постоянно виснет, долго загружается, бесконечно просит очистить кеш. У меня Android 16, One UI 8.0, 100 Гб свободно, 8 Гб оперативки, которая тоже ничем не забита, и каждый раз, когда я пытаюсь либо сохранить квитанцию, либо поделиться ей хотя бы в тг, чтобы оттуда распечатать - это приложение вылетает! Я должна потратить час времени, чтобы выгрузить эти несчастные квитанции! С каждым обновлением только хуже и хуже!",Negative
payme,zor,Positive
payme,"Мое сообщение для создателем Payme ?!?!?! После последний обновление PAYME стал в прямом смысле ТУПИМ !!! очень сильно тупит , выходит запись что Payme не отвечает и ещё другое ... Пожалуйста исправте",Negative
payme,"ваше не работает и комисия много, и мониторинг не показывает все удалите эту приложение",Negative
payme,ассаломалекум охирги пайтда QRcod Билан муаммолар ва котиб колишлар юзага келмокда,Negative
payme,не работает вапше,Negative
payme,Я уже не первый год пользуюсь этим приложением меня всё устраивало а сейчас в последнее время я сильно разочаровался вообще не возможно пользоваться даже открыть не всегда получается постоянно вылетает в чём проблема прошу пожалуйста разберитесь,Negative
payme,не очень хорошо работает,Positive
payme,шунча кварт платани тўлаганларим историяда йўқ бўлиб қолди силарни хато ўзидан ўзи 39.900 пулимни ечиб олди операторга телефон қилсам бирнима плюсга уланган шунга ечилди деди ким улади унга ўзидан ўзи уланиб қолдими бирўани хаққини евордила. уже кеч тей туги билан ўчириб ташадим,Negative
payme,ishlamayabdi qotib yotibdi ilovadan otvoryabdi,Negative
payme,все хорошо спасибо,Positive
payme,последнее время вылетает сообщение пэйми не отвечает,Negative
payme,"с последним обновленим стал сильно тормозить, а порой даже не открываться, также иногда на мониторинге не показывает сумму баланса карты",Negative
payme,"Так надоело это.. Даже при стабильном интернете, пока приложение прогрузится, порой не мало времени проходит. Нажимаю иконку приложения, и сначала появляется на несколько секунд белый экран. Потом ещё немколько секунд ждёшь окно с воодом пинкода или биометрии, потом ждёшь пока прогрузится интерфейс. Когда надо быстро оплатить, в итоге стоишь и ждёшь пока приложение одуплится. Не вижу смысла просить даже исправить такую работу приложения. Не сможете. А раньше приложение было крутым 😔",Negative
payme,Mani kartam dan bular xech kanaka mani ruxsatmsz 40 ming pulimi yechvogan bularga kartezi ulab utirmen tovlamachi bular kartezi ulasez uzidan uzi pul yechvoluradi kaytarib bermidi piderjkaga yozsez jovob bermidi,Negative
payme,"Нимага ишламаяпти пайми, муаммо интернет деяпти, лекин интернетда муаммо йук. Киришни имкони бумаяпти.",Negative
payme,ishlamayapti umumaaaan ilovaga kirib bulmayapti,Negative
payme,Ishlamay qolyapdiku rasvosini chiqaryapsilar nima ahvol bu internet aloqasi yuq deb 3 soatdan buyon sharmanda buldi odam zapravkada karta yugidi yuqotinglar bunaqa narsani,Negative
payme,не работает вообще несколько раз пришлось переустанавливать что купить в магазине,Negative
payme,приложение не открывается,Negative
payme,Вдруг перестал устраивать интернет. Не могу войти. И вайфай и мобильный.,Negative
payme,"Здравствуйте разработчики,у вас снова проблемы с приложением,не открывается приложение,не могу получить доступ хотя правильно набираю пароль ,говорит нет интернета,проверьте соединение,хотя интернет есть,надо решить эту проблему.",Negative
payme,"изза того что не работает нормально, я не смог заплатить в магазине",Negative
payme,"тупить, не работает когда надо. Бесит",Negative
payme,👎👎👎 ваше не работает,Negative
payme,"После перехода сервиса к новому владельцу качество работы приложения заметно ухудшилось. Если раньше система работала стабильно и без сбоев, то сейчас пользоваться приложением стало крайне затруднительно. На данный момент возникают серьезные технические проблемы: приложение часто не запускается, зависает на этапе входа или выдает сообщение о том, что оно не отвечает. В результате становится невозможным выполнить даже базовые действия, не говоря уже о полноценной работе.",Negative
payme,"Assalomalekum! Ilova yaxshi lekin har doim ilovaga kirgan vaqt Access denied yozuvi chiqadi va negadir juda sekin ishlaydi, muammo telefondan desam qolgan bank ilovalari tez ishlab turibdi. Ayrim paytda ilovaga kirish parolini kiritgandan keyin yoki o'tkazmalarni tasdiqlash uchun 1-2 daqiqa oralig'ida vaqt ketayapdi. Shu muammo bartaraf etilsa yaxshi bo'lar edi.",Negative
payme,👍👍👍,Positive
payme,super,Positive
payme,Аввал муаммосиз ишлаётган эди россияда Энди впнсиз ишламябди умуман нима сабабдан? бу ёғи впн ҳам Энди ишламябди россияда.. Умуман фойдаланиб бўлмаябди,Negative
payme,Payme класс очень удобно с Вами работать,Positive
payme,работает отлично и вовремя,Positive
payme,хорошие приложения мне наривться,Positive
payme,"Постлянно пишет, что пайме не отвечает, но обновления нет. Не могу понять в чем проблема?",Negative
payme,"приложение стало плохо работать,после бновления, заходишь в приложения,и оно вылетает, приходится раз пять на него кликать, чтобы оно, запустилось. Раньше работало хорошо,а теперь тупит???...",Negative
payme,"Раньше хорошо работало, теперь нет",Positive
payme,"здравствуйте, в последнюю неделю ужасро тормозит, не заходит с первого раза",Negative
payme,"Приложение очень удобное, НО в последнее время зависает жёстко либо выбрасывает вообще. Куда смотрят разработчики этого приложения. Возможно, это связано с тем , что приложение не адаптираванно под 16 Андроид",Positive
payme,здравствуйте у меня в мониторинг нет об оплате штрафа ГИБДД я оплатил квитанцию нет,Negative
payme,payme super,Positive
payme,мне не понравилось без причин денги пропадают,Positive
payme,Очень удобно,Positive
payme,хорошо,Positive
payme,zor ilova,Positive
payme,Antivirus SDK o'rnatish kerak emas edi. Endi har safar ilova ishga tushayotganda tezkor xotirani maksimal darajada band qilib qo'yyapti,Negative
payme,"после последнего обновления стал жёстко глючить, до обновления все было ок",Negative
payme,хорошо,Positive
payme,отлично,Positive
payme,последние время тормозит,Negative
payme,"пользовался вашим приложением. могу сказать только одно. хуже только ваше приложение. сняли деньги за подписку,которую я не оформлял.перевалили всю вину на клиента и довольные. не советую это приложение. да да да рассказывайте сказки. никаких услуг не подключал ни я ни кто либо ещё с моего телефона. если только payme приложение сами сняли без согласования деньги с моей карточки. ваше приложение удалил в дальнейшем пользоваться не собираюсь.",Negative
payme,"приложение отличное, но почему то всегда выходит ""payme не отвечает"" я не смог исправить, установлен последний обновление и тел норм редми нот 14, переустановил, перезапустил всё равно так выходит но сам приложение работает, как исправить это",Positive
payme,"Приложение даёт и рекламирует кэшбэк, но чтобы его использовать нужно подключится к платной услуги. А в последнее время ещё проценты за оплату начали брать, видимо совсем все плохо у них стало что так низко опустились.",Negative
payme,Что-то в последнее время приложение чересчур лагает началось после последнего обновления,Negative
payme,спасибо за крутое приложение,Positive
payme,Payme+ уберите эту функцию или хотя-бы автоподписка я нечаянно нажал пейми плус и сняли 40тыщ и я сразу писал на оператора они сказали что не возможно вернуть денег!!!!!,Negative
payme,"последние время приложение испортилось после входа несколько раз выкидывает назад,счёт карточек куда-то исчезает .работает с опозданием,в общем прога испортилась,печально.",Negative
payme,"после последнего обновления приложение стало не стабильно часто вылетает,тормозит...",Negative
payme,zor,Positive
payme,очень часто проблемы с мерчантом. плюс двойные списания на кассе. да и открывается положение медленно.,Negative
payme,"Приложение сильно глючить. Оплата не проходит, и потом раз и двойное списание. Постоянно зависает при открытии. И это с учётом того что у меня Payme ➕️. Со следующего месяца перейду на Click",Negative
payme,👍,Positive
payme,Комиссия завышенная и приложение слишком зависает,Negative
payme,ужасный сайт как только попали денгь я случайно подключила плус забрал все деньги,Negative
payme,здравствуйте payme очень классный предложение советую всем бонус самые лучшие удобно вы лучшие так держать жду новый хороший доработки,Positive
payme,После последнего обновления приложение стало сильно тормозить.,Negative
payme,"Я не смог пройти аутентификацию при авторизации😂 думаете после этого я буду пользоваться вашим приложением?) а и да, не просите связаться с вами по почте, вы пользователям за это не платите и конкурентов у вас куча. Думаете людям делать больше нечего, как тратить свое время решение ваших проблем.",Negative
payme,отличное приложение),Positive
payme,"после обновления стало лагать при входе в приложение долгая задержка, попрошу вас исправить.",Negative
payme,zor,Positive
payme,"На Android вообще не работает, тормозит и не грузит.",Negative
payme,после последнего обновления приложение ужасно тормозит долго открывается разработчики исправьте ошибку,Negative
payme,"почему не могу использовать КЕШ на коммунальные платежи, а ваш me+ не понимаю и не хочу подписываться на какие то платные услуги и так ваша комиссия за переводы заоблачная",Negative
payme,👍👍👍👍,Positive
payme,"Уважаемые разработчики, в последнее время очень часто возникает ошибка «устройство не отвечает». Ранее всё работало в штатном режиме. Пожалуйста, обратите внимание на данную проблему.",Negative
payme,После последнего обновления есть ошибка на андроид исправьте пожалуйста,Negative
payme,отличное приложение 👍👍👍,Positive
payme,zor,Positive
payme,Здравствуйте администрация сейчас сделал а толку не какого слетает программа раньше было все нормально как вы пишете обновите ни какого результата просто слетает и все сейчас пытаюсь а результат ноль,Positive
payme,Uyin uchun pul yechib olindi lekin tashlab bermayabdi pubgdan shunga qanaqa chora kursa buladi 5 yildan buyon ishlataman xali bunaqa bulmagan otkaz qilaman desam bulmayabdi pulni qaytib bermaykan agar shunday bulsa bu ilovadan unaqa keraksiz foydasiz narsalarni olib tashlanglar,Negative
payme,eng zoʻr pragrama,Positive
payme,супер спасибо,Positive
payme,"Приложение прикольное,вся семья пользуеться и радуеться!! Но хотелось бы по меньше рекламы,потомучто на кассе когда стоишь, надо буквально верить в бога чтобы реклама не выскачила,и телефон не залагал. А так приложение СУПЕР!!😘",Positive
payme,Payme ilovasi zo'r.Menga yoqadi.Peyme ilovasi asoschilaridan rahmat.,Positive
payme,отлично спасибо большое спасибо,Positive
payme,"Охирги ""обновление""да ҳамма ёқни расво қилдийла. Приложениега кириш битта муаммо (парол терилгандан кейин 3-5 секунд ўйланиииб туради – кирсамми-кирмасамми, дегандай), кириб огандан кейин тўлов учун карта танлолмайсан – бутунлай ""музлаб"" қолади. Бекор Плюс обуна сотиб олибман(",Negative
payme,"Вчера,2.04.2026года Пайме с меня снял 39990сум,после снятия с карты пенсию.Комиссия банка 1% ..Раньше я не замечала это.Вчера день банка оказывается был.С пенсионеров за свой праздник сняли что ли? Мне это не понравилось,не стало куда либо жаловаться и удалила приложение",Negative
payme,"Почему-то в приложении при положительном балансе отопления (2000) показывает красным и говорит что есть долг. Отопление уже отключили и платить не скоро, так и будет показывать не правильно.",Negative
payme,хорошо работает,Positive
payme,"неоднократно подводили с оплатой при оформлении заказа в том же Bellissimo. при переходе в payme ""поставщик услуг временно недоступен"". в результате оплата не проходит, но промокод сгорает из-за вас. на кассе тоже бывало глючило, при этом деньги в итоге списывались дважды. поддержка не решает НИЧЕГО, абсолютно бесполезные общие фразы. разочарована. возвращаюсь к Click.",Negative
payme,"больше месяца невозможно посмотреть поступления, кто мне сколько отправил, сделала сбросить фильтры все равно не могу посмотреть доходы. раньше это было возможно",Negative
payme,не показывает мониторинг поступлений денег почему??,Negative
payme,👍,Positive
payme,zor,Positive
payme,очень легко и быстро мне нравится,Positive
payme,👍👍👏,Positive
payme,приложение хорошие рекомендую всем,Positive
payme,Поставил бы 5. Но не могу добавить другую карту. Пишут не совпадает ПНФЛ штоли. До этого можна было.,Negative
payme,очень плохо,Negative
payme,"Не работает предложение, на карте баланс не показывает",Negative
payme,zor,Positive
payme,👍,Positive
payme,Хорошо,Positive
payme,"Слишком часто блокируется приложение, невозможно пользоваться переводами!",Negative
payme,"Иной раз через сеть Wi-Fi не открывается, через мб работает.",Negative
payme,супер,Positive
payme,tbc &payme 👎👎👎,Negative
payme,nega bu ilova mandan ozidan ozi 40 ming pul yechib oldi shuni manga chuntirib berilar.,Negative
payme,Best,Positive
payme,Что та не открывается. удаляю,Negative
payme,просто мусор,Negative
payme,"МОНИТОРИНГ ПЕРЕВОДОВ НЕ ПОКАЗЫВАЕТ ВОВРЕМЯ , ОПАЗДЫВАЕТ НА 5-6 ЧАСОВ НЕ УДОБНО , КАЛЛ ЦЕНТР НЕ ОТВЕЧАЕТ",Negative
payme,Zor,Positive
payme,yaxshi zörku ammo yeğilib qolgan keshbeklarimi ishlatish uchun 30 minli obunaga ulanishim kerak ekan bu juda ğalatikuu,Positive
payme,"вроде работает нормально, вот только бывает что чуточик глучить. а так всё нормально",Positive
payme,👍👍👍,Positive
payme,Распознавания по лицу не работает на самсунг,Negative
payme,Zor gap yoq ilova,Positive
payme,ok super,Positive
payme,хорошо,Positive
payme,👍,Positive
payme,oxirgi yangilanishdan keyin uyga soliq to'lashga kirsam qotib qolayapti. bazan chiqib ketayapti. rahmat,Positive
payme,edinfidikatsiyadan otmayapti operatir bilan boglanip bolmaydi ariza qabul qiladi aruza ustida ishlamaydi noqulay ilova keraksz,Negative
payme,judayam zõr ilova bu ilovadan foydalanayotganimdan judayam hursand man🥰,Positive
payme,"После удаления приложения деньги за подписку payme+ продолжают списывать, да и после обращения в техподдержку написали деньги поступят обратно в течение 72 часов, прошла неделя деньги не вернули и техподдержка игнорит сутками сколько бы не писал",Negative
payme,barakatopining operator rahmat,Positive
payme,🫰👍,Positive
payme,хорошо работает,Positive
payme,yaxshi ishlidi xamelaga raxmat,Positive
payme,"как использовать кешбек? Оформил подписку paymeplus, не могу использовать кешбек в оплатах, не выходит такой вариант оплаты с помощью кешбека",Negative
payme,payme ilovasi yaxshi lekin juda uslugasi koʼp inof bilan boʼlishi kerak,Positive
payme,keshbek tashlash nimagadur yoʻq 😡,Negative
payme,Здравствуйте отличное приложения спасибо,Positive
payme,super,Positive
payme,"Я отписался от пейми + , при переводе денег также берёте проценты, за что тогда платим?",Negative
payme,ассалам алейкум Ман телефон ракамимга пул ташлайман деб бошка картага пул ташлаб йуборибман илтимос пулмни кайтаришга йордам Бериб йуборинглар,Negative
payme,РАЙ МЕ ИШЛАМАЯПДИ З9.900 НИМА УЧУН КАРТАМДАН ОЛИБ КОЛАЯПСИЗЛАР МАН ШУ УСЛУГАНИ УЧИРМОКЧИМАН МАНГА КЕРАКМАС ИЛТИМОС УЧИРИБ БЕРИНГЛАР ШУНИ УЧИРАМАН ДЕБ НОТУГРИ КНОПКАНИ БОСДИМ ШЕКИЛЛИ,Negative
payme,не могу зарегистрироваться,Negative
payme,zoʻr,Positive
payme,super,Positive
payme,установил из-за оплата по QR коду пайме стоит. Посмотрим как остальные функции работает.,Negative
payme,Здравствуйте! Я в первые в шоке. Сегодня утром у меня с карты без моего ведома вы списали 39.999 Я не подписывалась на ваши подписки 😡😡😡,Negative
payme,zo'r ilova,Positive
payme,ajoyib,Positive
payme,yaxshi ishlavotti,Positive
payme,"Нимага мани телефонимдан не совместимость килиб куйдинглар, хамма хам смартфонни озирги русумини ололмайди, лекин мани карталарим хаммаси шуерда, совместимость килиб куйинг.",Negative
payme,"вечные проблемы с переводом и оплатой, оплатил за метро и через 3 минуты qr-код сам по себе отменяется а я не прошел! очень переоцененное приложение",Negative
